id_exploitation,region,culture_principale,type_sol,type_stockage,superficie_ha,distance_marche_km,pluviometrie_mm,age_exploitant,irrigation,formation_recue,delai_avant_vente_j,reclamation_appui_urgence,perte_elevee
EXP00573,Plateaux,maïs,sableux,magasin communautaire,0.93,18.1,1079.0,29,0,1,10.0,0,0
EXP00574,Kara,igname,argileux,magasin communautaire,1.73,,1160.0,34,0,0,3.0,0,0
EXP00575,Kara,manioc,argileux,magasin communautaire,1.65,13.4,1061.0,39,0,0,24.0,0,0
EXP00576,Plateaux,sorgho,hydromorphe,magasin communautaire,1.53,11.8,,53,0,0,7.0,0,0
EXP00577,Savanes,riz,sableux,magasin communautaire,0.67,18.7,938.0,26,0,0,,0,0
EXP00578,Centrale,riz,argileux,silo métallique,5.88,5.3,568.0,70,0,0,15.0,0,0
EXP00579,Kara,riz,,aucun,5.69,16.6,1165.0,55,1,0,73.0,1,1
EXP00580,Plateaux,sorgho,hydromorphe,aucun,2.21,35.0,642.0,25,0,0,12.0,0,0
EXP00581,Plateaux,riz,argileux,aucun,2.88,8.0,1099.0,35,0,0,7.0,0,0
EXP00582,Plateaux,maïs,hydromorphe,magasin communautaire,3.33,11.0,,55,0,0,16.0,0,0
EXP00583,Maritime,maïs,ferrugineux,silo métallique,2.23,29.1,676.0,45,0,0,9.0,0,0
EXP00584,Plateaux,riz,argileux,case traditionnelle,3.02,13.4,804.0,46,0,0,2.0,0,0
EXP00585,Savanes,maïs,argileux,magasin communautaire,3.65,22.6,1459.0,21,0,0,29.0,0,0
EXP00586,Centrale,maïs,hydromorphe,case traditionnelle,2.74,17.3,931.0,40,0,0,19.0,1,1
EXP00587,Maritime,maïs,hydromorphe,case traditionnelle,4.09,18.3,,50,0,0,8.0,0,0
EXP00588,Plateaux,manioc,hydromorphe,aucun,1.49,7.6,1142.0,57,0,0,6.0,0,0
EXP00589,Maritime,maïs,ferrugineux,aucun,2.41,7.4,765.0,42,1,0,6.0,0,0
EXP00590,Maritime,riz,argileux,magasin communautaire,11.5,20.7,489.0,47,0,0,16.0,1,0
EXP00591,Savanes,sorgho,ferrugineux,case traditionnelle,4.73,4.0,,30,0,0,54.0,0,0
EXP00592,Plateaux,sorgho,sableux,silo métallique,2.78,11.4,730.0,60,0,1,13.0,0,0
EXP00593,Plateaux,maïs,ferrugineux,magasin communautaire,1.19,18.7,1027.0,55,0,1,3.0,0,0
EXP00594,Centrale,manioc,sableux,silo métallique,2.5,11.0,755.0,57,0,0,7.0,0,0
EXP00595,Maritime,manioc,argileux,aucun,4.52,11.9,1120.0,53,0,0,17.0,0,0
EXP00596,Maritime,manioc,sableux,case traditionnelle,3.93,23.4,994.0,70,0,0,8.0,0,0
EXP00597,Kara,riz,sableux,case traditionnelle,0.55,31.4,329.0,64,0,0,,0,0
EXP00598,Centrale,maïs,argileux,case traditionnelle,0.69,53.0,1042.0,61,0,1,13.0,0,0
EXP00599,Savanes,igname,argileux,case traditionnelle,0.72,29.7,880.0,36,0,0,7.0,1,1
EXP00600,Centrale,maïs,argileux,case traditionnelle,3.36,9.3,1290.0,22,0,0,18.0,0,0
EXP00601,Plateaux,sorgho,ferrugineux,case traditionnelle,0.72,6.6,1045.0,19,0,1,18.0,0,0
EXP00602,Kara,manioc,sableux,case traditionnelle,1.15,9.4,1131.0,59,0,1,22.0,0,0
EXP00603,Savanes,maïs,argileux,case traditionnelle,2.18,18.9,779.0,65,0,0,25.0,1,1
EXP00604,Kara,riz,hydromorphe,case traditionnelle,5.02,10.2,760.0,52,0,1,8.0,0,0
EXP00605,Savanes,maïs,sableux,silo métallique,3.47,7.8,944.0,56,0,1,28.0,0,0
EXP00606,Kara,sorgho,ferrugineux,case traditionnelle,1.99,33.9,863.0,23,0,1,11.0,0,0
EXP00607,Kara,manioc,argileux,aucun,4.17,9.9,1271.0,48,1,0,2.0,0,0
EXP00608,Maritime,maïs,sableux,case traditionnelle,8.41,,913.0,50,0,1,26.0,1,1
EXP00609,Kara,maïs,sableux,case traditionnelle,2.52,17.6,656.0,27,0,0,38.0,1,1
EXP00610,Plateaux,sorgho,argileux,case traditionnelle,0.89,2.3,751.0,58,0,0,13.0,0,0
EXP00611,Centrale,maïs,ferrugineux,silo métallique,1.18,32.6,1182.0,36,0,0,30.0,0,0
EXP00612,Centrale,igname,hydromorphe,case traditionnelle,1.17,5.0,910.0,29,0,0,14.0,0,0
EXP00613,Savanes,sorgho,argileux,magasin communautaire,1.38,3.6,897.0,55,0,0,9.0,1,0
EXP00614,Savanes,riz,ferrugineux,case traditionnelle,1.89,9.1,1204.0,41,0,0,14.0,0,0
EXP00615,Plateaux,maïs,argileux,aucun,2.94,6.7,730.0,46,0,0,15.0,0,0
EXP00616,Kara,riz,,case traditionnelle,0.78,29.3,414.0,47,1,1,17.0,0,0
EXP00617,Kara,igname,sableux,case traditionnelle,0.9,15.8,745.0,51,0,0,12.0,0,0
EXP00618,Plateaux,maïs,sableux,aucun,3.63,8.4,1008.0,40,0,0,25.0,0,0
EXP00619,Maritime,maïs,sableux,case traditionnelle,1.65,3.5,890.0,61,0,1,22.0,0,0
EXP00620,Maritime,maïs,argileux,case traditionnelle,1.27,17.1,575.0,64,0,0,,0,0
EXP00621,Kara,manioc,hydromorphe,silo métallique,2.05,10.6,1194.0,44,0,1,10.0,0,0
EXP00622,Plateaux,riz,ferrugineux,case traditionnelle,5.6,18.8,989.0,27,0,0,24.0,0,0
EXP00623,Savanes,manioc,hydromorphe,case traditionnelle,3.97,15.9,1043.0,33,0,0,13.0,0,0
EXP00624,Plateaux,manioc,sableux,magasin communautaire,3.79,6.8,1051.0,59,0,0,8.0,0,0
EXP00625,Savanes,maïs,argileux,case traditionnelle,6.89,20.4,638.0,32,1,0,13.0,0,0
EXP00626,Plateaux,maïs,argileux,aucun,3.04,4.5,1023.0,59,0,0,4.0,0,0
EXP00627,Kara,maïs,hydromorphe,magasin communautaire,7.3,10.3,1168.0,53,1,0,,0,0
EXP00628,Maritime,sorgho,,magasin communautaire,7.68,11.3,1224.0,42,0,0,15.0,0,0
EXP00629,Centrale,riz,ferrugineux,case traditionnelle,0.8,12.5,1123.0,25,0,0,9.0,0,0
EXP00630,Kara,manioc,ferrugineux,silo métallique,0.64,4.2,,47,0,0,4.0,0,0
EXP00631,Savanes,sorgho,ferrugineux,silo métallique,1.11,28.4,533.0,55,0,0,,0,0
EXP00632,Kara,maïs,argileux,case traditionnelle,5.24,6.8,946.0,26,0,1,3.0,0,0
EXP00633,Maritime,maïs,ferrugineux,aucun,2.08,2.8,720.0,61,0,1,20.0,0,0
EXP00634,Plateaux,maïs,sableux,magasin communautaire,1.9,16.3,1258.0,29,0,0,12.0,0,0
EXP00635,Maritime,igname,argileux,silo métallique,4.24,41.8,1221.0,40,0,1,13.0,0,0
EXP00636,Maritime,riz,argileux,case traditionnelle,1.59,2.3,,46,1,1,14.0,0,0
EXP00637,Centrale,riz,argileux,case traditionnelle,2.78,5.7,939.0,57,0,0,10.0,0,0
EXP00638,Kara,maïs,ferrugineux,silo métallique,3.63,23.6,,30,0,0,15.0,0,0
EXP00639,Kara,maïs,hydromorphe,silo métallique,1.19,13.2,1166.0,36,0,0,17.0,0,0
EXP00640,Kara,riz,sableux,case traditionnelle,0.99,4.4,548.0,60,0,1,23.0,0,0
EXP00641,Kara,manioc,sableux,case traditionnelle,2.51,11.3,420.0,36,0,0,22.0,0,0
EXP00642,Kara,igname,sableux,silo métallique,2.74,35.5,959.0,51,0,0,6.0,1,1
EXP00643,Maritime,sorgho,sableux,case traditionnelle,4.02,30.4,342.0,39,0,1,8.0,0,0
EXP00644,Maritime,manioc,hydromorphe,case traditionnelle,1.09,59.3,988.0,21,0,0,29.0,0,1
EXP00645,Centrale,riz,ferrugineux,magasin communautaire,1.42,21.1,1092.0,45,0,0,11.0,0,0
EXP00646,Kara,igname,hydromorphe,case traditionnelle,7.63,8.9,1247.0,37,0,0,19.0,0,0
EXP00647,Maritime,manioc,hydromorphe,case traditionnelle,4.66,23.3,801.0,32,0,1,33.0,0,0
EXP00648,Plateaux,riz,sableux,case traditionnelle,2.22,7.4,989.0,63,0,0,16.0,0,0
EXP00649,Centrale,igname,argileux,aucun,5.16,12.0,1106.0,59,1,0,6.0,0,0
EXP00650,Maritime,maïs,sableux,case traditionnelle,1.1,7.5,668.0,33,1,0,6.0,0,0
EXP00651,Plateaux,igname,sableux,silo métallique,2.04,21.0,,46,0,0,12.0,0,0
EXP00652,Savanes,maïs,ferrugineux,aucun,2.72,19.8,1016.0,56,0,1,12.0,0,0
EXP00653,Centrale,riz,sableux,silo métallique,1.88,8.0,805.0,21,0,0,5.0,0,0
EXP00654,Maritime,sorgho,hydromorphe,magasin communautaire,1.93,26.9,984.0,23,0,0,7.0,0,0
EXP00655,Kara,riz,ferrugineux,magasin communautaire,3.89,32.6,917.0,47,0,1,22.0,0,0
EXP00656,Plateaux,manioc,ferrugineux,case traditionnelle,4.7,8.9,1137.0,67,0,0,29.0,0,0
EXP00657,Kara,riz,argileux,magasin communautaire,1.74,17.4,863.0,67,0,0,11.0,0,0
EXP00658,Plateaux,maïs,,aucun,0.84,33.9,1005.0,42,0,1,0.0,0,0
EXP00659,Centrale,maïs,sableux,silo métallique,0.71,16.3,801.0,55,0,1,21.0,1,1
EXP00660,Plateaux,maïs,argileux,magasin communautaire,0.46,10.3,725.0,44,0,0,3.0,0,0
EXP00661,Maritime,manioc,,case traditionnelle,6.82,12.4,991.0,66,0,0,4.0,1,0
EXP00662,Savanes,manioc,hydromorphe,aucun,3.9,8.8,735.0,48,0,0,,0,0
EXP00663,Maritime,maïs,argileux,case traditionnelle,3.34,27.4,1142.0,65,0,0,34.0,0,0
EXP00664,Maritime,igname,ferrugineux,aucun,1.57,25.3,1092.0,37,0,0,24.0,0,0
EXP00665,Plateaux,manioc,sableux,case traditionnelle,1.57,47.0,766.0,67,1,0,22.0,0,0
EXP00666,Kara,manioc,ferrugineux,silo métallique,4.81,7.3,1001.0,56,0,0,13.0,0,0
EXP00667,Kara,manioc,hydromorphe,silo métallique,0.64,8.4,,58,0,0,5.0,0,0
EXP00668,Savanes,maïs,hydromorphe,magasin communautaire,1.79,3.7,565.0,19,0,1,31.0,0,0
EXP00669,Plateaux,riz,hydromorphe,case traditionnelle,5.27,19.0,807.0,60,0,1,5.0,0,0
EXP00670,Plateaux,manioc,argileux,aucun,1.79,5.1,938.0,27,0,1,19.0,0,0
EXP00671,Maritime,maïs,argileux,case traditionnelle,3.77,45.5,1075.0,67,0,0,16.0,0,0
EXP00672,Centrale,igname,sableux,case traditionnelle,2.29,6.7,986.0,28,0,0,4.0,0,0
EXP00673,Savanes,sorgho,sableux,magasin communautaire,0.28,2.2,1168.0,61,0,0,3.0,0,0
EXP00674,Kara,riz,ferrugineux,magasin communautaire,2.22,4.9,715.0,52,0,0,22.0,0,0
EXP00675,Centrale,sorgho,ferrugineux,silo métallique,2.54,16.0,,39,1,1,15.0,0,0
EXP00676,Plateaux,igname,ferrugineux,case traditionnelle,2.1,12.2,1345.0,65,0,0,30.0,1,0
EXP00677,Savanes,maïs,argileux,magasin communautaire,0.96,6.5,487.0,39,0,0,18.0,1,0
EXP00678,Plateaux,riz,ferrugineux,aucun,2.11,11.8,842.0,22,0,0,17.0,1,1
EXP00679,Maritime,riz,hydromorphe,case traditionnelle,0.48,8.2,693.0,22,0,0,2.0,0,0
EXP00680,Plateaux,maïs,argileux,magasin communautaire,1.78,18.7,903.0,63,0,1,16.0,0,0
EXP00681,Maritime,maïs,sableux,silo métallique,3.97,5.3,846.0,38,1,0,14.0,0,0
EXP00682,Maritime,maïs,sableux,aucun,6.58,14.4,1095.0,61,0,0,18.0,1,0
EXP00683,Maritime,riz,ferrugineux,magasin communautaire,5.87,14.9,1011.0,20,0,0,14.0,0,0
EXP00684,Plateaux,sorgho,sableux,aucun,1.07,12.5,637.0,22,0,1,13.0,0,0
EXP00685,Centrale,sorgho,sableux,case traditionnelle,0.73,17.2,809.0,70,0,0,13.0,0,0
EXP00686,Plateaux,maïs,hydromorphe,case traditionnelle,2.72,11.7,950.0,26,0,0,8.0,0,0
EXP00687,Plateaux,maïs,sableux,aucun,2.43,20.9,1127.0,54,0,1,22.0,1,0
EXP00688,Savanes,manioc,argileux,aucun,3.58,12.5,1534.0,37,0,1,,0,0
EXP00689,Kara,manioc,hydromorphe,magasin communautaire,1.48,28.2,1119.0,45,0,0,5.0,1,1
EXP00690,Centrale,igname,hydromorphe,magasin communautaire,2.48,14.4,707.0,24,0,1,7.0,1,1
EXP00691,Plateaux,sorgho,hydromorphe,magasin communautaire,2.39,27.1,927.0,32,0,0,22.0,0,0
EXP00692,Savanes,igname,argileux,case traditionnelle,1.82,8.3,993.0,58,0,1,11.0,0,0
EXP00693,Maritime,sorgho,ferrugineux,aucun,0.61,5.8,825.0,46,0,0,10.0,0,0
EXP00694,Plateaux,igname,argileux,silo métallique,3.93,20.7,1063.0,45,0,1,3.0,0,0
EXP00695,Savanes,manioc,argileux,magasin communautaire,2.73,12.7,405.0,68,0,1,,1,1
EXP00696,Plateaux,maïs,hydromorphe,case traditionnelle,4.12,1.4,1083.0,40,0,0,6.0,0,0
EXP00697,Kara,maïs,sableux,case traditionnelle,4.8,7.2,836.0,60,0,0,3.0,1,0
EXP00698,Centrale,manioc,argileux,case traditionnelle,2.24,16.0,924.0,56,0,1,28.0,0,1
EXP00699,Centrale,maïs,argileux,silo métallique,3.95,11.9,1302.0,42,0,0,16.0,0,0
EXP00700,Plateaux,maïs,hydromorphe,magasin communautaire,6.68,6.9,647.0,34,0,0,66.0,1,1
EXP00701,Maritime,igname,ferrugineux,case traditionnelle,8.11,,1015.0,37,0,0,17.0,1,0
EXP00702,Plateaux,maïs,sableux,magasin communautaire,2.97,14.1,1141.0,64,0,0,5.0,0,0
EXP00703,Maritime,igname,ferrugineux,aucun,3.14,2.8,991.0,34,0,0,18.0,1,0
EXP00704,Kara,sorgho,ferrugineux,case traditionnelle,2.94,26.6,563.0,53,0,0,21.0,1,1
EXP00705,Plateaux,riz,argileux,magasin communautaire,3.49,30.6,,25,0,1,9.0,0,0
EXP00706,Centrale,riz,hydromorphe,magasin communautaire,4.66,7.1,899.0,37,0,0,,0,0
EXP00707,Kara,maïs,sableux,case traditionnelle,2.89,40.9,823.0,67,0,0,20.0,0,0
EXP00708,Kara,riz,ferrugineux,magasin communautaire,7.81,12.0,875.0,47,1,0,,0,0
EXP00709,Plateaux,maïs,ferrugineux,magasin communautaire,7.1,7.8,858.0,61,0,0,23.0,0,0
EXP00710,Plateaux,igname,ferrugineux,case traditionnelle,2.54,7.6,664.0,32,0,0,18.0,1,1
EXP00711,Savanes,maïs,hydromorphe,case traditionnelle,2.53,39.2,990.0,58,1,0,15.0,1,1
EXP00712,Centrale,maïs,ferrugineux,aucun,1.72,5.4,807.0,70,0,0,16.0,1,1
EXP00713,Kara,riz,hydromorphe,case traditionnelle,3.62,14.3,1111.0,67,1,1,5.0,0,0
EXP00714,Savanes,riz,hydromorphe,magasin communautaire,1.94,15.6,1074.0,41,0,0,36.0,0,0
EXP00715,Kara,manioc,sableux,magasin communautaire,1.66,20.8,1340.0,54,0,0,11.0,0,0
EXP00716,Maritime,riz,sableux,aucun,3.57,13.5,899.0,65,0,1,10.0,0,0
EXP00717,Centrale,maïs,,silo métallique,1.03,,757.0,61,0,0,19.0,0,0
EXP00718,Maritime,riz,hydromorphe,aucun,4.72,41.9,,69,0,0,60.0,1,1
EXP00719,Centrale,maïs,ferrugineux,magasin communautaire,3.67,32.0,1476.0,20,0,1,24.0,0,0
EXP00720,Savanes,maïs,hydromorphe,magasin communautaire,6.85,16.7,1109.0,46,0,0,11.0,1,1
EXP00721,Plateaux,maïs,argileux,case traditionnelle,3.01,23.8,784.0,60,0,0,18.0,0,0
EXP00722,Plateaux,maïs,argileux,case traditionnelle,4.06,10.2,1356.0,56,0,0,18.0,0,0
EXP00723,Maritime,maïs,hydromorphe,case traditionnelle,4.43,27.2,1275.0,26,0,1,14.0,0,0
EXP00724,Savanes,manioc,argileux,case traditionnelle,5.57,8.2,626.0,48,0,0,5.0,0,0
EXP00725,Maritime,maïs,,magasin communautaire,2.78,6.2,769.0,27,0,1,24.0,1,0
EXP00726,Maritime,maïs,ferrugineux,case traditionnelle,1.71,6.0,918.0,23,0,0,10.0,0,0
EXP00727,Maritime,manioc,argileux,case traditionnelle,3.06,19.0,693.0,24,0,0,8.0,1,0
EXP00728,Maritime,maïs,hydromorphe,case traditionnelle,4.71,34.5,927.0,68,0,1,11.0,1,1
EXP00729,Plateaux,riz,sableux,silo métallique,5.14,36.2,,33,0,1,29.0,1,0
EXP00730,Plateaux,igname,sableux,magasin communautaire,0.61,1.6,,42,0,0,10.0,0,0
EXP00731,Plateaux,manioc,hydromorphe,silo métallique,12.67,24.7,1020.0,32,0,0,,0,0
EXP00732,Maritime,igname,sableux,magasin communautaire,1.67,5.8,1230.0,65,0,1,50.0,0,0
EXP00733,Maritime,maïs,sableux,aucun,4.11,52.5,1046.0,65,1,0,10.0,1,1
EXP00734,Plateaux,maïs,hydromorphe,silo métallique,5.99,,932.0,53,0,0,13.0,0,0
EXP00735,Maritime,riz,hydromorphe,case traditionnelle,2.37,2.8,790.0,62,0,0,14.0,0,0
EXP00736,Centrale,sorgho,sableux,aucun,5.27,25.1,1149.0,24,0,1,10.0,1,1
EXP00737,Maritime,sorgho,ferrugineux,case traditionnelle,0.61,9.7,668.0,70,0,0,13.0,0,0
EXP00738,Plateaux,maïs,ferrugineux,magasin communautaire,5.4,9.3,1008.0,40,0,0,16.0,0,0
EXP00739,Plateaux,sorgho,argileux,silo métallique,4.97,7.1,956.0,39,0,0,10.0,0,0
EXP00740,Plateaux,manioc,hydromorphe,case traditionnelle,3.33,8.1,1220.0,29,0,0,3.0,1,0
EXP00741,Maritime,maïs,sableux,magasin communautaire,4.73,25.8,810.0,64,0,0,4.0,0,0
EXP00742,Maritime,maïs,sableux,case traditionnelle,7.22,6.0,831.0,27,0,0,14.0,1,1
EXP00743,Kara,igname,argileux,case traditionnelle,6.11,11.6,652.0,63,0,0,39.0,1,1
EXP00744,Maritime,maïs,sableux,case traditionnelle,2.48,5.5,1055.0,56,0,0,11.0,0,0
EXP00745,Plateaux,sorgho,sableux,case traditionnelle,3.04,13.9,848.0,59,0,0,17.0,1,1
EXP00746,Plateaux,riz,argileux,case traditionnelle,2.18,9.2,743.0,20,0,1,30.0,0,0
EXP00747,Plateaux,riz,argileux,magasin communautaire,1.98,17.9,766.0,57,0,0,20.0,0,0
EXP00748,Plateaux,riz,ferrugineux,magasin communautaire,4.41,19.6,1079.0,69,0,0,14.0,0,0
EXP00749,Kara,sorgho,sableux,magasin communautaire,2.16,34.8,685.0,39,0,0,13.0,0,0
EXP00750,Kara,maïs,ferrugineux,silo métallique,4.4,50.3,707.0,42,0,0,8.0,0,0
EXP00751,Maritime,maïs,argileux,case traditionnelle,2.37,7.7,1165.0,24,0,1,24.0,0,0
EXP00752,Plateaux,manioc,ferrugineux,case traditionnelle,2.63,21.1,910.0,44,0,0,29.0,0,0
EXP00753,Maritime,manioc,ferrugineux,silo métallique,1.34,9.0,1179.0,54,1,1,0.0,0,0
EXP00754,Plateaux,maïs,ferrugineux,aucun,4.33,19.2,864.0,34,0,0,24.0,0,0
EXP00755,Centrale,maïs,sableux,magasin communautaire,0.58,18.6,950.0,57,1,1,21.0,0,0
EXP00756,Maritime,maïs,ferrugineux,case traditionnelle,5.54,18.2,988.0,23,0,0,11.0,0,0
EXP00757,Plateaux,maïs,ferrugineux,silo métallique,9.81,22.2,1283.0,54,0,0,,0,0
EXP00758,Savanes,maïs,sableux,aucun,2.69,14.6,1263.0,49,0,0,19.0,0,0
EXP00759,Maritime,igname,argileux,case traditionnelle,2.61,9.7,1227.0,30,0,0,4.0,0,0
EXP00760,Plateaux,maïs,sableux,case traditionnelle,0.74,14.0,799.0,36,0,0,11.0,1,0
EXP00761,Kara,igname,hydromorphe,case traditionnelle,1.75,47.9,713.0,31,0,0,17.0,0,0
EXP00762,Maritime,igname,sableux,magasin communautaire,4.76,8.4,1133.0,51,0,1,33.0,0,0
EXP00763,Maritime,maïs,sableux,aucun,5.22,10.3,1280.0,52,0,1,42.0,0,0
EXP00764,Maritime,riz,hydromorphe,silo métallique,2.94,7.2,1229.0,47,0,0,6.0,1,0
EXP00765,Savanes,riz,sableux,case traditionnelle,4.57,2.3,953.0,29,0,0,18.0,0,0
EXP00766,Maritime,riz,ferrugineux,magasin communautaire,1.36,12.4,1125.0,30,0,0,14.0,0,0
EXP00767,Maritime,maïs,ferrugineux,aucun,3.43,20.1,1129.0,61,1,1,22.0,0,0
EXP00768,Maritime,maïs,sableux,magasin communautaire,6.5,6.3,986.0,43,0,0,13.0,0,0
EXP00769,Maritime,maïs,hydromorphe,silo métallique,3.9,31.4,996.0,41,0,0,23.0,0,0
EXP00770,Centrale,riz,ferrugineux,case traditionnelle,7.15,,974.0,35,0,0,17.0,1,1
EXP00771,Maritime,igname,ferrugineux,case traditionnelle,7.29,26.0,761.0,67,0,0,9.0,0,0
EXP00772,Centrale,riz,argileux,magasin communautaire,3.59,,,31,0,0,23.0,0,0
EXP00773,Centrale,riz,hydromorphe,magasin communautaire,0.22,11.6,782.0,58,1,0,13.0,1,0
EXP00774,Kara,igname,ferrugineux,aucun,5.15,9.9,566.0,59,0,1,15.0,1,1
EXP00775,Maritime,riz,sableux,magasin communautaire,0.95,15.9,984.0,31,0,1,7.0,0,0
EXP00776,Kara,maïs,sableux,case traditionnelle,0.3,16.9,940.0,19,0,0,12.0,0,0
EXP00777,Centrale,sorgho,hydromorphe,case traditionnelle,0.52,8.8,1133.0,31,0,0,33.0,0,0
EXP00778,Maritime,manioc,argileux,magasin communautaire,5.39,11.4,1253.0,32,0,1,9.0,1,0
EXP00779,Kara,maïs,hydromorphe,case traditionnelle,3.61,42.1,1268.0,57,1,0,42.0,0,0
EXP00780,Kara,manioc,sableux,silo métallique,3.0,14.2,1290.0,46,0,0,15.0,0,0
EXP00781,Maritime,igname,sableux,case traditionnelle,3.85,15.3,768.0,41,0,0,18.0,0,0
EXP00782,Savanes,maïs,sableux,case traditionnelle,0.54,35.7,606.0,43,0,0,8.0,1,1
EXP00783,Plateaux,manioc,ferrugineux,magasin communautaire,2.17,17.1,1173.0,68,0,0,24.0,0,0
EXP00784,Centrale,maïs,sableux,case traditionnelle,1.55,13.0,1282.0,67,0,0,4.0,0,0
EXP00785,Savanes,maïs,sableux,magasin communautaire,2.84,25.5,1323.0,20,0,0,12.0,0,0
EXP00786,Plateaux,maïs,ferrugineux,magasin communautaire,2.91,21.8,1066.0,62,0,0,8.0,0,0
EXP00787,Kara,riz,ferrugineux,magasin communautaire,3.74,15.6,471.0,37,0,0,4.0,0,0
EXP00788,Plateaux,sorgho,sableux,silo métallique,4.13,16.5,1038.0,58,0,0,22.0,0,0
EXP00789,Kara,maïs,ferrugineux,silo métallique,0.56,10.6,1083.0,70,0,1,12.0,1,0
EXP00790,Centrale,maïs,argileux,aucun,2.19,5.2,1250.0,45,0,1,15.0,0,0
EXP00791,Maritime,maïs,ferrugineux,case traditionnelle,2.57,19.7,1293.0,51,0,1,8.0,0,0
EXP00792,Plateaux,maïs,argileux,case traditionnelle,0.93,3.5,,41,1,1,25.0,0,0
EXP00793,Plateaux,manioc,sableux,silo métallique,0.85,5.4,809.0,22,0,0,17.0,0,0
EXP00794,Maritime,riz,hydromorphe,magasin communautaire,0.76,11.3,703.0,20,0,0,37.0,0,1
EXP00795,Maritime,riz,hydromorphe,magasin communautaire,4.55,10.4,1078.0,37,1,0,9.0,1,0
EXP00796,Plateaux,manioc,hydromorphe,magasin communautaire,0.64,21.2,760.0,61,0,0,9.0,1,1
EXP00797,Maritime,manioc,sableux,silo métallique,0.74,24.9,1304.0,36,0,1,20.0,0,0
EXP00798,Maritime,maïs,,case traditionnelle,2.75,45.9,541.0,41,0,0,39.0,1,1
EXP00799,Kara,maïs,ferrugineux,magasin communautaire,3.42,3.0,1086.0,46,1,1,10.0,0,0
EXP00800,Kara,igname,sableux,case traditionnelle,2.51,18.1,1027.0,35,0,0,1.0,0,0
EXP00801,Kara,sorgho,argileux,case traditionnelle,1.08,17.6,,44,0,0,5.0,0,0
EXP00802,Plateaux,igname,hydromorphe,silo métallique,0.87,16.1,728.0,50,1,1,33.0,0,0
EXP00803,Savanes,igname,sableux,magasin communautaire,2.7,19.7,455.0,63,0,0,11.0,0,0
EXP00804,Centrale,riz,,case traditionnelle,2.31,22.6,822.0,58,0,1,45.0,0,0
EXP00805,Maritime,igname,argileux,aucun,1.9,32.0,827.0,61,0,1,6.0,1,1
EXP00806,Maritime,manioc,ferrugineux,silo métallique,4.42,16.5,1217.0,46,0,1,21.0,0,0
EXP00807,Centrale,maïs,hydromorphe,magasin communautaire,2.2,38.4,762.0,55,0,1,21.0,0,0
EXP00808,Maritime,maïs,hydromorphe,aucun,0.81,16.6,,26,0,0,4.0,1,0
EXP00809,Plateaux,maïs,hydromorphe,magasin communautaire,1.91,9.4,640.0,26,0,0,,0,0
EXP00810,Savanes,maïs,ferrugineux,silo métallique,3.7,15.5,1065.0,66,1,1,,0,0
EXP00811,Maritime,manioc,sableux,case traditionnelle,2.11,6.7,413.0,50,0,0,22.0,0,0
EXP00812,Maritime,riz,ferrugineux,case traditionnelle,3.65,7.0,1453.0,24,1,0,19.0,0,1
EXP00813,Savanes,sorgho,argileux,case traditionnelle,4.16,12.0,,40,0,0,13.0,1,0
EXP00814,Centrale,manioc,ferrugineux,case traditionnelle,2.21,10.7,279.0,69,0,0,12.0,1,1
EXP00815,Maritime,maïs,hydromorphe,magasin communautaire,2.5,31.5,778.0,20,0,0,2.0,0,0
EXP00816,Savanes,riz,argileux,case traditionnelle,2.01,11.9,740.0,42,0,1,7.0,0,0
EXP00817,Savanes,manioc,ferrugineux,magasin communautaire,3.71,5.9,793.0,62,0,0,3.0,0,0
EXP00818,Plateaux,maïs,ferrugineux,case traditionnelle,1.96,13.6,862.0,68,1,0,18.0,0,0
EXP00819,Centrale,maïs,sableux,case traditionnelle,3.46,16.5,791.0,38,0,0,5.0,0,0
EXP00820,Maritime,maïs,ferrugineux,aucun,2.94,14.6,754.0,66,0,0,33.0,0,0
EXP00821,Maritime,maïs,argileux,magasin communautaire,0.51,5.7,672.0,56,0,0,15.0,0,0
EXP00822,Centrale,sorgho,hydromorphe,aucun,3.59,33.7,1147.0,40,0,0,7.0,0,0
EXP00823,Plateaux,sorgho,argileux,magasin communautaire,2.75,2.7,1238.0,59,0,0,,0,0
EXP00824,Centrale,riz,ferrugineux,case traditionnelle,5.69,14.5,889.0,60,0,0,5.0,0,0
EXP00825,Kara,maïs,ferrugineux,magasin communautaire,0.96,5.5,946.0,33,1,0,,0,0
EXP00826,Maritime,sorgho,argileux,magasin communautaire,2.98,26.5,680.0,23,0,0,7.0,0,0
EXP00827,Centrale,riz,argileux,case traditionnelle,1.76,18.2,967.0,59,0,1,29.0,0,0
EXP00828,Maritime,maïs,argileux,aucun,0.56,16.5,1005.0,23,0,1,45.0,1,1
EXP00829,Kara,riz,hydromorphe,magasin communautaire,0.44,11.2,897.0,59,1,1,,1,0
EXP00830,Maritime,manioc,hydromorphe,silo métallique,6.46,31.8,1045.0,37,0,1,80.0,1,0
EXP00831,Centrale,manioc,sableux,magasin communautaire,2.98,11.2,1024.0,55,0,0,22.0,0,0
EXP00832,Centrale,maïs,hydromorphe,magasin communautaire,2.16,40.6,697.0,50,0,1,,0,0
EXP00833,Plateaux,manioc,ferrugineux,case traditionnelle,0.7,6.8,1236.0,20,0,0,21.0,0,0
